Date,Close,Volume
14-10-2016,50.697,6430136
17-10-2016,50.3914,5223526
18-10-2016,50.2481,6550399
19-10-2016,50.7638,9095261
20-10-2016,51.1841,9286800
21-10-2016,51.2223,6767204
24-10-2016,51.7476,6919714
25-10-2016,51.2605,6052830
26-10-2016,51.2223,5817798
27-10-2016,51.1841,7899957
28-10-2016,51.1268,6620333
31-10-2016,50.6874,9142509
01-11-2016,50.143,15425819
02-11-2016,50.6015,10851658
03-11-2016,49.4458,21847292
04-11-2016,50.3818,21956848
07-11-2016,52.0437,14916848
08-11-2016,52.1678,9351994
09-11-2016,52.1296,13727777
10-11-2016,51.165,13621701
11-11-2016,51.5088,8436435
14-11-2016,51.7858,10489826
15-11-2016,52.3807,9588036
16-11-2016,53.1963,10779155
17-11-2016,53.5897,8744504
18-11-2016,53.513,8740953
21-11-2016,53.8296,8004000
22-11-2016,54.8083,10268720
23-11-2016,55.2593,8183628
25-11-2016,55.1058,3228848
28-11-2016,55.2593,8750925
29-11-2016,55.8158,10582850
30-11-2016,55.6239,9527959
01-12-2016,56.1421,12381607
02-12-2016,54.8947,16869957
05-12-2016,55.173,7701167
06-12-2016,55.1154,7035674
07-12-2016,56.382,9094812
08-12-2016,56.2764,7972498
09-12-2016,56.3724,7091577
12-12-2016,56.3916,7736198
13-12-2016,56.9097,8878080
14-12-2016,56.3724,9022867
15-12-2016,55.3745,11837756
16-12-2016,55.3265,10611461
19-12-2016,55.3169,6433824
20-12-2016,55.3649,4888284
21-12-2016,55.1154,5380537
22-12-2016,54.7987,6777656
23-12-2016,54.7028,4298476
27-12-2016,54.5589,4186157
28-12-2016,54.0695,5548726
29-12-2016,54.0407,3781721
30-12-2016,53.2731,8344508
03-01-2017,53.11,7809307
04-01-2017,53.7241,7796290
05-01-2017,54.175,7602321
06-01-2017,54.8179,8587812
09-01-2017,55.8446,12640515
10-01-2017,55.5376,6672024
11-01-2017,55.7487,6027960
12-01-2017,55.6815,4733015
13-01-2017,55.5088,4745840
17-01-2017,55.6527,5734666
18-01-2017,56.0845,7375725
19-01-2017,55.5472,7850480
20-01-2017,55.3265,7651562
23-01-2017,55.4224,6814368
24-01-2017,56.0749,10704103
25-01-2017,56.3244,7124547
26-01-2017,56.0941,12382416
27-01-2017,53.8488,28884899
30-01-2017,53.6377,13322010
31-01-2017,52.9852,14307985
01-02-2017,51.7186,18796871
02-02-2017,51.6899,15289650
03-02-2017,52.8317,14161693
06-02-2017,53.4746,13029829
07-02-2017,53.2433,9910498
08-02-2017,53.224,11681938
09-02-2017,53.7927,11106757
10-02-2017,54.1878,11178950
13-02-2017,54.0818,8027939
14-02-2017,54.5348,8865947
15-02-2017,54.8047,6967179
16-02-2017,54.6794,8524519
17-02-2017,55.277,11008366
21-02-2017,55.4601,8289185
22-02-2017,55.489,7876599
23-02-2017,55.5565,7178627
24-02-2017,55.4023,7806190
27-02-2017,54.7276,7702400
28-02-2017,54.8143,8750655
01-03-2017,55.0746,7197973
02-03-2017,55.0553,6595418
03-03-2017,55.036,7738064
06-03-2017,54.6312,9159983
07-03-2017,54.1686,10890313
08-03-2017,53.7252,13061632
09-03-2017,53.1951,17844248
10-03-2017,52.5589,13886431
